Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
DC1,UPCOM,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Xây dựng và Vật liệu
DC2,HNX,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2,Xây dựng và Vật liệu
DC4,HSX,Công ty Cổ phần Xây dựng DIC Holdings,Xây dựng và Vật liệu
DCF,UPCOM,Công ty Cổ phần Xây dựng và Thiết kế số 1,Xây dựng và Vật liệu
DCG,UPCOM,Công ty Cổ phần Tổng Công ty May Đáp Cầu,Hàng cá nhân
DCH,UPCOM,Công ty Cổ phần Địa chính Hà Nội,Bất động sản
DCL,HSX,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm
DCM,HSX,Công ty Cổ phần Phân bón Dầu Khí Cà Mau,Hóa chất
DCR,UPCOM,Công ty Cổ phần Gạch men COSEVCO,Xây dựng và Vật liệu
DCS,UPCOM,Công ty Cổ phần Tập đoàn Đại Châu,Hàng gia dụng
DCT,UPCOM,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai,Xây dựng và Vật liệu
DDB,UPCOM,Công ty Cổ Phần Thương Mại Và Xây Dựng Đông Dương,Xây dựng và Vật liệu
DDG,HNX,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương,Nước & Khí đốt
DDH,UPCOM,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng,Vận tải
DDM,UPCOM,Công ty Cổ phần Hàng hải Đông Đô,Vận tải
DDN,UPCOM,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng,Dược phẩm
DDV,UPCOM,Công ty Cổ phần DAP - Vinachem,Hóa chất
DFC,UPCOM,Công ty Cổ phần Xích líp Đông Anh,Kim loại
DFF,UPCOM,Công ty Cổ phần Tập đoàn Đua Fat,Xây dựng và Vật liệu
DGC,HSX,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất
DGT,UPCOM,Công ty Cổ phần Công trình Giao thông Đồng Nai,Xây dựng và Vật liệu
DGW,HSX,Công ty Cổ phần Thế Giới Số,Bán lẻ
DHA,HSX,Công ty Cổ phần Hóa An,Xây dựng và Vật liệu
DHB,UPCOM,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc,Hóa chất
DHC,HSX,Công ty Cổ phần Đông Hải Bến Tre,Lâm nghiệp và Giấy
DHD,UPCOM,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương,Dược phẩm
DHG,HSX,Công ty Cổ phần Dược Hậu Giang,Dược phẩm
DHM,HSX,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu,Khai khoáng
DHN,UPCOM,Công ty Cổ phần Dược phẩm Hà Nội,Dược phẩm
DHP,HNX,Công ty Cổ phần Điện cơ Hải Phòng,Điện tử & Thiết bị điện
DHT,HNX,Công ty Cổ phần Dược phẩm Hà Tây,Phân phối thực phẩm & dược phẩm
DIC,UPCOM,Công ty Cổ phần Đầu tư và Thương mại DIC,Xây dựng và Vật liệu
DID,UPCOM,Công ty Cổ phần DIC - Đồng Tiến,Xây dựng và Vật liệu
DIG,HSX,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản
DIH,HNX,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Xây dựng và Vật liệu
DKC,UPCOM,Công ty Cổ phần Chợ Lạng Sơn,Bán lẻ
DKW,UPCOM,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành,Nước & Khí đốt
DL1,HNX,Công ty Cổ phần Tập đoàn Alpha Seven,Vận tải
DLD,UPCOM,Công ty Cổ phần Du lịch Đắk Lắk,Du lịch & Giải trí
DLG,HSX,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,Lâm nghiệp và Giấy
DLR,UPCOM,Công ty Cổ phần Địa ốc Đà Lạt,Xây dựng và Vật liệu
DLT,UPCOM,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Du lịch & Giải trí
DM7,UPCOM,Công ty Cổ phần Dệt may 7,Hàng cá nhân
DMC,HSX,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Dược phẩm
DMN,UPCOM,Công ty Cổ phần Domenal,Sản xuất thực phẩm
DMS,UPCOM,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam,Nước & Khí đốt
DNA,UPCOM,Công ty Cổ phần Điện nước An Giang,Nước & Khí đốt
DNC,HNX,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,Sản xuất & Phân phối Điện
DND,UPCOM,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai,Xây dựng và Vật liệu
DNE,UPCOM,Công ty Cổ phần Môi trường Đô thị Đà Nẵng,Tư vấn & Hỗ trợ Kinh doanh
DNH,UPCOM,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi,Sản xuất & Phân phối Điện
DNL,UPCOM,Công ty Cổ phần Logistics Cảng Đà Nẵng,Vận tải
DNM,UPCOM,Tổng Công ty Cổ phần Y tế Danameco,Thiết bị và Dịch vụ Y tế
DNN,UPCOM,Công ty Cổ phần Cấp nước Đà Nẵng,Nước & Khí đốt
DNP,HNX,Công ty Cổ phần DNP Holding,Xây dựng và Vật liệu
DNT,UPCOM,Công ty Cổ phần Du lịch Đồng Nai,Du lịch & Giải trí
DNW,UPCOM,Công ty Cổ phần Cấp nước Đồng Nai,Nước & Khí đốt
DOC,UPCOM,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai,Hóa chất
DOP,UPCOM,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Vận tải
DP1,UPCOM,Công ty Cổ phần Dược phẩm Trung ương CPC1,Dược phẩm
DP2,UPCOM,Công ty Cổ phần Dược phẩm Trung ương 2,Dược phẩm
DP3,HNX,Công ty Cổ Phần Dược Phẩm Trung Ương 3,Dược phẩm
DPC,UPCOM,Công ty Cổ phần Nhựa Đà Nẵng,Hàng công nghiệp
DPG,HSX,Công ty Cổ phần Tập đoàn Đạt Phương,Xây dựng và Vật liệu
DPH,UPCOM,Công ty Cổ phần Dược phẩm Hải Phòng,Dược phẩm
DPM,HSX,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Hóa chất
DPP,UPCOM,Công ty Cổ phần Dược Đồng Nai,Dược phẩm
DPR,HSX,Công ty Cổ phần Cao su Đồng Phú,Hóa chất
DPS,UPCOM,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn,Kim loại
DQC,HSX,Công ty Cổ phần Tập đoàn Điện Quang,Hàng gia dụng
DRC,HSX,Công ty Cổ phần Cao su Đà Nẵng,Ô tô và phụ tùng
DRG,UPCOM,Công ty Cổ phần Cao su Đắk Lắk,Hóa chất
DRH,HSX,Công ty Cổ phần DRH Holdings,Bất động sản
DRI,UPCOM,Công ty Cổ phần Đầu tư Cao su Đắk Lắk,Hóa chất
DRL,HSX,Công ty Cổ phần Thủy điện - Điện lực 3,Sản xuất & Phân phối Điện
DS3,HNX,Công ty Cổ phần DS3,Vận tải
DSC,HSX,Công ty Cổ phần Chứng khoán DSC,Dịch vụ tài chính
DSD,UPCOM,Công ty cổ phần DHC Suối Đôi,Du lịch & Giải trí
DSE,HSX,Công ty Cổ phần Chứng khoán DNSE,Dịch vụ tài chính
DSG,UPCOM,Công ty Cổ phần Kính Đáp Cầu,Xây dựng và Vật liệu
DSN,HSX,Công ty Cổ phần Công viên nước Đầm Sen,Du lịch & Giải trí
DSP,UPCOM,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Du lịch & Giải trí
DST,HNX,Công ty Cổ phần Đầu tư Sao Thăng Long,Truyền thông
DTA,HSX,Công ty Cổ phần Đệ Tam,Bất động sản
DTB,UPCOM,Công ty Cổ phần Công trình Đô thị Bảo Lộc,Tư vấn & Hỗ trợ Kinh doanh
DTC,UPCOM,Công ty Cổ phần Viglacera Đông Triều,Xây dựng và Vật liệu
DTD,HNX,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Bất động sản
DTE,UPCOM,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Sản xuất & Phân phối Điện
DTG,HNX,Công ty Cổ phần Dược phẩm Tipharco,Dược phẩm
DTH,UPCOM,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,Thiết bị và Dịch vụ Y tế
DTI,UPCOM,Công ty Cổ phần Đầu tư Đức Trung,Du lịch & Giải trí
DTK,HNX,Tổng Công ty Điện lực TKV - Công ty Cổ phần,Sản xuất & Phân phối Điện
DTL,HSX,Công ty Cổ phần Đại Thiên Lộc,Kim loại
DTP,UPCOM,Công ty Cổ phần Dược phẩm CPC1 Hà Nội,Dược phẩm
DTT,HSX,Công ty Cổ phần Kỹ nghệ Đô Thành,Hóa chất
DUS,UPCOM,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt,Tư vấn & Hỗ trợ Kinh doanh
DVC,UPCOM,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,Nước & Khí đốt
DVG,UPCOM,Công ty Cổ phần Đại Việt Group DVG,Xây dựng và Vật liệu
DVM,HNX,Công ty Cổ phần Dược liệu Việt Nam,Dược phẩm
DVN,UPCOM,Tổng Công ty Dược Việt Nam - CTCP,Dược phẩm
DVP,HSX,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Vận tải
DVW,UPCOM,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,Xây dựng và Vật liệu
DWC,UPCOM,Công ty Cổ phần Cấp nước Đắk Lắk,Nước & Khí đốt
DWS,UPCOM,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp,Nước & Khí đốt
DXG,HSX,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản
DXL,UPCOM,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch & Giải trí
DXP,HNX,Công ty Cổ phần Cảng Đoạn Xá,Vận tải
DXS,HSX,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Bất động sản
DXV,HSX,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu
DZM,UPCOM,Công ty Cổ phần Cơ điện Dzĩ An,Công nghiệp nặng
E12,UPCOM,Công ty Cổ phần Xây Dựng Điện VNECO 12,Xây dựng và Vật liệu
E29,UPCOM,Công ty cổ phần Đầu tư Xây dựng và Kỹ thuật 29,Xây dựng và Vật liệu
EBS,HNX,Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội,Truyền thông
ECI,HNX,Công ty Cổ phần Tập đoàn ECI,Truyền thông
ECO,UPCOM,Công ty Cổ Phần Nhựa Sinh Thái Việt Nam,Hóa chất
EFI,UPCOM,Công ty Cổ phần Đầu tư Tài chính Giáo dục,Bất động sản
EIB,HSX,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,Ngân hàng
EIC,UPCOM,Công ty Cổ phần EVN Quốc Tế,Xây dựng và Vật liệu
EID,HNX,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội,Truyền thông
EIN,UPCOM,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Du lịch & Giải trí
ELC,HSX,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Thiết bị và Phần cứng
EME,UPCOM,Công ty Cổ phần Điện Cơ,Điện tử & Thiết bị điện
EMG,UPCOM,Công ty Cổ phần Thiết bị Phụ tùng Cơ điện,Điện tử & Thiết bị điện
EMS,UPCOM,Tổng Công ty Chuyển phát nhanh Bưu điện - Công ty Cổ phần,Vận tải
EPC,UPCOM,Công ty Cổ phần Cà Phê Ea Pốk,Bia và đồ uống
EPH,UPCOM,Công ty Cổ phần Dịch vụ Xuất bản Giáo dục Hà Nội,Truyền thông
EVE,HSX,Công ty Cổ phần Everpia,Hàng cá nhân
EVF,HSX,Công ty Tài chính Cổ phần Điện Lực,Dịch vụ tài chính
EVG,HSX,Công ty Cổ phần Tập đoàn Everland,Xây dựng và Vật liệu
EVS,HNX,Công ty Cổ phần Chứng khoán Everest,Dịch vụ tài chính
FBA,UPCOM,Công ty Cổ phần Tập đoàn Quốc tế FBA,Hàng gia dụng
FBC,UPCOM,Công ty Cổ phần Cơ khí Phổ Yên,Công nghiệp nặng
FCC,UPCOM,Công ty Cổ phần Liên hợp Thực phẩm,Bất động sản
FCM,HSX,Công ty Cổ phần Khoáng sản FECON,Xây dựng và Vật liệu
FCN,HSX,Công ty Cổ phần FECON,Xây dựng và Vật liệu
FCS,UPCOM,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,Sản xuất thực phẩm
FDC,HSX,Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản
